Designator,Mid X,Mid Y,Rotation,Layer
C1,489.3,-106.75,90.0,bottom
C10,478.7125,-89.75,90.0,bottom
C100,380.2125,-173.35,180.0,bottom
C101,484.8125,-158.65,180.0,bottom
C102,280.0125,-158.44,180.0,bottom
C103,308.7125,-135.55,180.0,bottom
C104,399.1125,-110.25,180.0,bottom
C105,151.4125,-111.95,180.0,bottom
C106,266.5125,-210.65,180.0,bottom
C107,425.0125,-213.05,180.0,bottom
C109,384.8125,-210.55,180.0,bottom
C11,476.3125,-90.2,90.0,bottom
C110,199.1125,-211.65,180.0,bottom
C111,412.3125,-196.55,180.0,bottom
C112,332.2125,-196.95,180.0,bottom
C113,294.3125,-196.75,180.0,bottom
C114,113.3125,-111.45,180.0,bottom
C115,341.9125,-172.85,180.0,bottom
C116,242.0125,-158.15,180.0,bottom
C117,151.6125,-162.25,180.0,bottom
C118,270.5125,-134.75,180.0,bottom
C12,480.8125,-90.35,90.0,bottom
C13,479.25,-100.3,0.0,bottom
C14,485.3125,-102.0125,270.0,bottom
C15,480.85,-88.2,0.0,bottom
C16,474.6,-90.25,90.0,bottom
C2,484.1,-106.7,270.0,bottom
C25,211.5125,-195.45,180.0,bottom
C26,303.9125,-174.05,180.0,bottom
C27,201.7125,-157.35,180.0,bottom
C28,484.8125,-133.65,180.0,bottom
C29,232.3125,-134.95,180.0,bottom
C3,477.75,-108.2,180.0,bottom
C30,358.9125,-110.35,180.0,bottom
C4,477.85,-105.7,180.0,bottom
C40,151.6125,-201.95,180.0,bottom
C41,265.6125,-174.15,180.0,bottom
C42,435.0125,-157.95,180.0,bottom
C43,113.3125,-158.75,180.0,bottom
C44,194.4125,-135.25,180.0,bottom
C45,317.9125,-109.95,180.0,bottom
C5,485.9,-88.45,90.0,bottom
C55,113.3125,-195.85,180.0,bottom
C56,227.5125,-174.55,180.0,bottom
C57,356.0125,-158.15,180.0,bottom
C58,427.5125,-134.95,180.0,bottom
C59,151.3125,-135.55,180.0,bottom
C6,484.0,-101.95,270.0,bottom
C60,277.7125,-110.55,180.0,bottom
C7,480.65,-98.9,0.0,bottom
C70,484.8125,-172.45,180.0,bottom
C71,162.15,-172.2,180.0,bottom
C72,394.1125,-157.65,180.0,bottom
C73,384.8125,-134.25,180.0,bottom
C74,113.3125,-135.85,180.0,bottom
C75,237.1625,-111.35,180.0,bottom
C8,478.5125,-96.1,0.0,bottom
C84,466.5125,-200.35,180.0,bottom
C85,424.4125,-174.65,180.0,bottom
C86,113.3125,-173.25,180.0,bottom
C87,318.0125,-157.95,180.0,bottom
C88,346.6125,-134.35,180.0,bottom
C89,439.7125,-110.25,180.0,bottom
C9,478.4625,-92.55,0.0,bottom
C90,197.0125,-111.85,180.0,bottom
C96,126.6125,-211.95,180.0,bottom
C97,465.9625,-216.25,180.0,bottom
C98,370.5125,-196.35,180.0,bottom
C99,256.3125,-197.45,180.0,bottom
D1,111.4425,-101.78,270.0,bottom
D10,297.18,-101.78,270.0,bottom
D100,382.905,-206.555,270.0,bottom
D101,401.955,-206.555,270.0,bottom
D102,421.005,-206.555,270.0,bottom
D103,444.8175,-211.3175,270.0,bottom
D104,463.8675,-211.3175,270.0,bottom
D105,482.9175,-211.3175,270.0,bottom
D106,103.8225,-108.095,0.0,bottom
